codigo_producto,demanda_total,caja_tipo_id,alto,ancho,largo,utilizacion_pallet,cantidad_cajas_pallet
BR0001,1546613,0835ff365412a67b720a19713ec250f3,305.8,286.0,386.0,0.8568706666666668,40.0
BR0001,1546613,170f5916eaeb0e271ae012eedb1ad645,327.8,286.0,386.0,0.9165640000000002,40.0
BR0001,1546613,2060590a59a5c59ff1bb32dbffe1028b,316.8,286.0,386.0,0.8867173333333335,40.0
BR0001,1546613,3ee40e049bab5e95db9b552be527cd7d,287.1,310.2,380.0,0.7729427875,36.0
BR0001,1546613,3f4b03b56bb388655f2cb1495b69f5d7,305.8,288.0,388.0,0.8670172037037037,40.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,317.9,281.0,379.0,0.8592118541666666,40.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,289.0,309.1,379.0,0.7732258354166668,36.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,317.9,309.1,379.0,0.7066353161458333,30.0
BR0001,1546613,584c93c412f45cd05fb6c4c753038aa1,317.9,285.0,379.0,0.8710223263888889,40.0
BR0001,1546613,584c93c412f45cd05fb6c4c753038aa1,289.0,313.5,379.0,0.7838876770833333,36.0
BR0001,1546613,584c93c412f45cd05fb6c4c753038aa1,317.9,313.5,379.0,0.7163789557291665,30.0
BR0001,1546613,5c09a821f787019adf0ee74c5cc31985,318.0,280.5,385.0,0.8712310185185185,40.0
BR0001,1546613,60f9d051a89c1302333f9987840f1831,328.0,280.5,385.0,0.8977929398148148,40.0
BR0001,1546613,6d3c3bcdfc4034e3424078243e7668a1,314.6,286.0,386.0,0.880748,40.0
BR0001,1546613,8f26468860664ecfed551104179d7f3e,318.0,286.0,386.0,0.8899733333333333,40.0
BR0001,1546613,9d44d480026dfab07731a73d1d0c6539,311.3,288.0,388.0,0.88211725,40.0
BR0001,1546613,a23eeef1c0cd8cfd40b780d65382034a,303.0,286.0,386.0,0.8492733333333333,40.0
BR0001,1546613,ab2be01db2336d90876b25f646f81b48,311.3,286.0,386.0,0.8717940000000002,40.0
BR0001,1546613,b4d42409ba0a801454f8f3bc60d94ec1,322.3,288.0,388.0,0.9123173425925926,40.0
BR0001,1546613,b5ff628fcb5e9885b7d13c5dd1ddd441,314.6,282.0,380.0,0.8556816666666668,40.0
BR0001,1546613,b5ff628fcb5e9885b7d13c5dd1ddd441,286.0,310.2,380.0,0.770081,36.0
BR0001,1546613,b5ff628fcb5e9885b7d13c5dd1ddd441,314.6,310.2,380.0,0.7037395625,30.0
BR0001,1546613,c4661c6946240f8ff854e9255c97cbc9,317.7,288.0,388.0,0.899688212962963,40.0
BR0001,1546613,c98f51071fa8c135d7071023f6b23ac0,313.2,288.0,388.0,0.8873336296296296,40.0
BR0001,1546613,e205014ff79e36431f829f1fab46061c,300.3,288.0,388.0,0.8519171574074074,40.0
BR0002,139211,0835ff365412a67b720a19713ec250f3,278.0,286.0,386.0,0.937728,48.0
BR0002,139211,0835ff365412a67b720a19713ec250f3,278.0,314.6,386.0,0.7712496000000001,36.0
BR0002,139211,125888817c4da192ce9335454b8d4432,271.0,309.1,379.0,0.7266771229166668,36.0
BR0002,139211,170f5916eaeb0e271ae012eedb1ad645,268.2,314.6,386.0,0.7450056899999999,36.0
BR0002,139211,2060590a59a5c59ff1bb32dbffe1028b,259.2,314.6,386.0,0.7209041400000001,36.0
BR0002,139211,3249c6671a2e400c91ae940376aa4946,268.0,316.8,388.0,0.7533012333333333,36.0
BR0002,139211,3ee40e049bab5e95db9b552be527cd7d,261.0,310.2,380.0,0.705040375,36.0
BR0002,139211,3f4b03b56bb388655f2cb1495b69f5d7,278.0,288.0,388.0,0.948832,48.0
BR0002,139211,3f4b03b56bb388655f2cb1495b69f5d7,278.0,316.8,388.0,0.7803984,36.0
BR0002,139211,3f4b03b56bb388655f2cb1495b69f5d7,250.2,316.8,388.0,0.7050682766666666,36.0
BR0002,139211,414d4cf5c1bc8a346f7e4445ede7acbd,251.9,314.6,386.0,0.701355105,36.0
BR0002,139211,4e08f8e3d25dca0ebe2ef18b5cff3f24,274.5,310.2,380.0,0.7401623125,36.0
BR0002,139211,537ef1ac28efdb45dee0d50d3e1f8274,276.1,310.2,380.0,0.7443249125,36.0
BR0002,139211,584c93c412f45cd05fb6c4c753038aa1,260.1,313.5,379.0,0.7081206072916667,36.0
BR0002,139211,5914abeae491eab8612131985b15994f,262.9,314.6,386.0,0.730812555,36.0
BR0002,139211,6bd5fa9e984e7243519003fc969aa30d,268.4,314.6,386.0,0.74554128,36.0
BR0002,139211,6d3c3bcdfc4034e3424078243e7668a1,286.0,286.0,386.0,0.963776,48.0
BR0002,139211,6d3c3bcdfc4034e3424078243e7668a1,286.0,314.6,386.0,0.7926732000000001,36.0
BR0002,139211,6d3c3bcdfc4034e3424078243e7668a1,257.4,314.6,386.0,0.7160838299999999,36.0
BR0002,139211,6e24cdcd39a5b66463bacc58cc283eb7,249.7,316.8,388.0,0.7037134183333335,36.0
BR0002,139211,72188210fb21e6ddf6d4aba9a9301c48,262.9,316.8,388.0,0.7394816783333333,36.0
BR0002,139211,746ba2b15e87d0070b74ecc07f6ca350,251.9,316.8,388.0,0.7096747949999999,36.0
BR0002,139211,9c72b7ef9f82b991ef05900066e9dc1b,271.0,310.2,380.0,0.731056625,36.0
BR0002,139211,9d44d480026dfab07731a73d1d0c6539,283.0,288.0,388.0,0.9653047777777778,48.0
BR0002,139211,9d44d480026dfab07731a73d1d0c6539,283.0,316.8,388.0,0.7939469833333334,36.0
BR0002,139211,9d44d480026dfab07731a73d1d0c6539,254.7,316.8,388.0,0.7172620016666668,36.0
BR0002,139211,a053806f0b23db27a17e90bf971c8a62,273.0,314.6,386.0,0.7578598500000001,36.0
