caja_id,alto,ancho,largo,utilizacion,cantidad_cajas_pallet
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,355.5,0.7719464912037036,40.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,355.5,0.7630133327777777,48.0
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,355.5,0.7038954675925926,40.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,355.5,0.7029628503472223,30.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,355.5,0.6948279879166666,36.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,355.5,0.6409930868055557,30.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,355.5,0.6409613593750001,30.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,355.5,0.63354399375,36.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,355.5,0.58445734375,30.0
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,434.5,0.4693983793981481,20.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,434.5,0.46396638361111103,24.0
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,434.5,0.4280185162037037,20.0
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,395.0,0.4276858125,20.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,434.5,0.4274514185763889,15.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,395.0,0.422736525,24.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,434.5,0.4225048435416667,18.0
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,395.0,0.389983125,20.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,434.5,0.3897693940972222,15.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,434.5,0.3897501015625,15.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,395.0,0.3894664218750001,15.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,434.5,0.385239815625,18.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,395.0,0.38495941875,18.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,434.5,0.355391640625,15.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,395.0,0.35513296875,15.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,395.0,0.355115390625,15.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,395.0,0.35100590625,18.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,395.0,0.32381015625,15.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,223.2,383.0,0.9498891874999998,90.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,223.2,383.0,0.9245375944444444,80.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,272.8,383.0,0.92153915,72.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,272.8,383.0,0.8969441911111111,64.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,223.2,383.0,0.85967358125,90.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,223.2,344.7,0.8573172895833332,90.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,248.0,383.0,0.84072525,72.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,223.2,344.7,0.834436347962963,80.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,272.8,383.0,0.8340160849999999,72.0
