caja_id,alto,ancho,largo,utilizacion,cantidad_cajas_pallet
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,355.5,0.81239895,48.0
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,355.5,0.7433313625000001,40.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,355.5,0.7417166625000001,36.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,355.5,0.732800265,48.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,355.5,0.678658259375,30.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,355.5,0.6755079375,36.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,355.5,0.66904341375,36.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,355.5,0.618078390625,30.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,355.5,0.6093218062499999,36.0
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,434.5,0.494967825,24.0
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,434.5,0.4528872270833334,20.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,434.5,0.45190344375,18.0
02cf77de65b70dd77905e2e33d78478f,291.0,266.4,395.0,0.45058364999999995,24.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,434.5,0.4464709774999999,24.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,434.5,0.4134840432291667,15.0
02cf77de65b70dd77905e2e33d78478f,320.1,266.4,395.0,0.41227645416666664,20.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,434.5,0.41156465625,18.0
02cf77de65b70dd77905e2e33d78478f,291.0,325.6,395.0,0.4113808875,18.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,434.5,0.40762603562500005,18.0
02cf77de65b70dd77905e2e33d78478f,261.9,266.4,395.0,0.406435555,24.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,434.5,0.37657473177083334,15.0
02cf77de65b70dd77905e2e33d78478f,320.1,325.6,395.0,0.3764065864583334,15.0
02cf77de65b70dd77905e2e33d78478f,291.0,296.0,395.0,0.3746593125,18.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,434.5,0.37123963437499996,18.0
02cf77de65b70dd77905e2e33d78478f,261.9,325.6,395.0,0.37107387124999996,18.0
02cf77de65b70dd77905e2e33d78478f,320.1,296.0,395.0,0.3428069635416667,15.0
02cf77de65b70dd77905e2e33d78478f,261.9,296.0,395.0,0.33795026875,18.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,223.2,383.0,0.9086148541666665,100.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,223.2,383.0,0.9055190625,90.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,272.8,383.0,0.8841948388888888,80.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,223.2,383.0,0.8829197833333333,80.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,272.8,383.0,0.88118225,72.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,272.8,383.0,0.8591903511111113,64.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,223.2,344.7,0.8191548312499998,100.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,223.2,344.7,0.81636384375,90.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,248.0,383.0,0.8055433611111111,80.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,248.0,383.0,0.80279875,72.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,272.8,344.7,0.7971391516666666,80.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,223.2,344.7,0.7959896349999999,80.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,272.8,344.7,0.7944231749999999,72.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,248.0,383.0,0.7827630888888888,64.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,272.8,344.7,0.7745965453333334,64.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,248.0,344.7,0.7262315083333334,80.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,248.0,344.7,0.723757125,72.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,248.0,344.7,0.7056941266666666,64.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,223.2,421.3,0.49903743854166666,50.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,223.2,421.3,0.497337140625,45.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,272.8,421.3,0.48562526305555553,40.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,223.2,421.3,0.48492496583333333,40.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,272.8,421.3,0.48397066250000004,36.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,272.8,421.3,0.47189207844444453,32.0
082c1cdb42b1abd201403ca33ca11ef0,170.1,248.0,421.3,0.4424276069444445,40.0
082c1cdb42b1abd201403ca33ca11ef0,189.0,248.0,421.3,0.4409201875,36.0
082c1cdb42b1abd201403ca33ca11ef0,207.9,248.0,421.3,0.4299160255555555,32.0
