caja_tipo_id,caja_grosor_mm,caja_interior_largo,caja_interior_ancho,caja_interior_alto,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,pallet_alto,pallet_ancho,pallet_largo,cantidad_cajas_alto,cantidad_cajas_largo,cantidad_cajas_ancho,cantidad_cajas_total,utilizacion,dimension_interna
016d196c89dcfcb306b853a776a879b9,4.8,383.0,248.0,224.0,392.6,257.6,233.6,1800,800,1200,7.0,2.0,4.0,56.0,0.7656200201481482,21276416.0
01a2a319402ed2155292c04d8748e16f,4.7,380.0,282.0,185.0,389.4,291.4,194.4,1800,800,1200,9.0,2.0,4.0,72.0,0.919116396,19824600.0
026560e43f3fc6afe0ce89d7ddf61626,4.1,390.0,290.0,184.0,398.2,298.2,192.2,1800,800,1200,9.0,2.0,4.0,72.0,0.950935447,20810400.0
02d7c6680102bd11e067c00c9b71ab9c,4.8,383.0,248.0,268.0,392.6,257.6,277.6,1800,800,1200,6.0,2.0,4.0,48.0,0.7798536604444447,25455712.0
0378f85c226113f4ac40fd360217bb8a,4.1,390.0,289.0,224.0,398.2,297.2,232.2,1800,800,1200,7.0,2.0,4.0,56.0,0.890546426,25247040.0
04dce8fd28129cc6fd826678996329a4,4.7,380.0,282.0,201.0,389.4,291.4,210.4,1800,800,1200,8.0,2.0,4.0,64.0,0.8842345208888889,21539160.0
057b7f8c3772129fb0b8cccf3c827c80,4.1,390.0,290.0,286.0,398.2,298.2,294.2,1800,800,1200,6.0,2.0,4.0,48.0,0.9703961446666663,32346600.0
079828584749f89c6e998317886ea4cf,4.7,384.0,285.0,167.0,393.4,294.4,176.4,1800,800,1200,10.0,2.0,4.0,80.0,0.9458385066666664,18276480.0
093e0a1389e0cc0f644ceea470a3cc01,2.7,379.0,284.0,289.0,384.4,289.4,294.4,1800,800,1200,6.0,2.0,4.0,48.0,0.9097398328888884,31106804.0
0a3dd3e01e43d4796c7cf1e84a70c57e,4.8,385.0,255.0,318.0,394.6,264.6,327.6,1800,800,1200,5.0,2.0,4.0,40.0,0.7917846300000001,31219650.0
0b1eab65d0cf634954fecfe2e9f2b337,4.8,386.0,285.0,283.0,395.6,294.6,292.6,1800,800,1200,6.0,2.0,4.0,48.0,0.9472417826666668,31132830.0
